Gmt time,Open,High,Low,Close,Volume
01.01.2021 00:00:00.000,1.22141,1.22141,1.22141,1.22141,0
02.01.2021 00:00:00.000,1.22141,1.22141,1.22141,1.22141,0
03.01.2021 00:00:00.000,1.22396,1.22527,1.22296,1.22500,6989.462
04.01.2021 00:00:00.000,1.22499,1.23096,1.22385,1.22525,244606.3341
05.01.2021 00:00:00.000,1.22525,1.23056,1.22470,1.22984,193568.3081
06.01.2021 00:00:00.000,1.22985,1.23494,1.22655,1.23382,269830.4942
07.01.2021 00:00:00.000,1.23384,1.23443,1.22450,1.22691,195084.44959999996
08.01.2021 00:00:00.000,1.22690,1.22845,1.21929,1.22174,235964.63380000004
09.01.2021 00:00:00.000,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 00:00:00.000,1.22175,1.22284,1.21821,1.21870,15988.934500000001
11.01.2021 00:00:00.000,1.21869,1.21998,1.21321,1.21605,185504.91199999995
12.01.2021 00:00:00.000,1.21605,1.22097,1.21371,1.22085,157612.43400000004
13.01.2021 00:00:00.000,1.22087,1.22227,1.21399,1.21619,172759.12989999997
14.01.2021 00:00:00.000,1.21618,1.21784,1.21110,1.21506,194298.37200000003
15.01.2021 00:00:00.000,1.21505,1.21624,1.20747,1.20748,164729.6905
16.01.2021 00:00:00.000,1.20748,1.20748,1.20748,1.20748,0
17.01.2021 00:00:00.000,1.20838,1.20865,1.20660,1.20662,5839.6972
18.01.2021 00:00:00.000,1.20661,1.20867,1.20535,1.20776,119422.25
19.01.2021 00:00:00.000,1.20775,1.21448,1.20772,1.21391,178228.68910000002
20.01.2021 00:00:00.000,1.21392,1.21581,1.20767,1.21144,168179.91259999998
21.01.2021 00:00:00.000,1.21145,1.21730,1.21093,1.21654,164673.6593
22.01.2021 00:00:00.000,1.21654,1.21894,1.21515,1.21667,139074.2614
23.01.2021 00:00:00.000,1.21667,1.21667,1.21667,1.21667,0
24.01.2021 00:00:00.000,1.21688,1.21716,1.21622,1.21668,4778.5141
25.01.2021 00:00:00.000,1.21670,1.21832,1.21158,1.21426,162031.37769999995
26.01.2021 00:00:00.000,1.21427,1.21758,1.21076,1.21632,146230.4043
27.01.2021 00:00:00.000,1.21632,1.21696,1.20585,1.21027,202691.46769999998
28.01.2021 00:00:00.000,1.21028,1.21424,1.20807,1.21209,198588.0751
29.01.2021 00:00:00.000,1.21209,1.21560,1.20944,1.21298,191330.83319999996
30.01.2021 00:00:00.000,1.21298,1.21298,1.21298,1.21298,0
31.01.2021 00:00:00.000,1.21297,1.21326,1.21204,1.21227,6872.5492
01.02.2021 00:00:00.000,1.21225,1.21363,1.20560,1.20676,165569.8187
02.02.2021 00:00:00.000,1.20676,1.20877,1.20115,1.20365,147916.46070000003
03.02.2021 00:00:00.000,1.20365,1.20500,1.20040,1.20412,119397.11380000004
04.02.2021 00:00:00.000,1.20413,1.20427,1.19574,1.19662,123758.4363
05.02.2021 00:00:00.000,1.19659,1.20498,1.19522,1.20481,120889.91680000002
06.02.2021 00:00:00.000,1.20481,1.20481,1.20481,1.20481,0
07.02.2021 00:00:00.000,1.20375,1.20550,1.20356,1.20483,15699.007599999999
08.02.2021 00:00:00.000,1.20484,1.20660,1.20196,1.20522,104199.0501
09.02.2021 00:00:00.000,1.20522,1.21218,1.20491,1.21161,133499.0298
10.02.2021 00:00:00.000,1.21162,1.21440,1.21088,1.21190,129989.7775
11.02.2021 00:00:00.000,1.21189,1.21494,1.21134,1.21304,88196.30300000001
12.02.2021 00:00:00.000,1.21306,1.21332,1.20815,1.21177,81669.75490000001
13.02.2021 00:00:00.000,1.21177,1.21177,1.21177,1.21177,0
14.02.2021 00:00:00.000,1.21244,1.21251,1.21191,1.21204,3240.6984
15.02.2021 00:00:00.000,1.21206,1.21451,1.21167,1.21320,67330.5012
16.02.2021 00:00:00.000,1.21319,1.21693,1.20859,1.20880,122475.05529999999
17.02.2021 00:00:00.000,1.20879,1.20982,1.20232,1.20455,127748.64990000002
18.02.2021 00:00:00.000,1.20454,1.20958,1.20355,1.20917,118499.33080000001
19.02.2021 00:00:00.000,1.20917,1.21444,1.20823,1.21167,118566.9945
20.02.2021 00:00:00.000,1.21167,1.21167,1.21167,1.21167,0
21.02.2021 00:00:00.000,1.21151,1.21292,1.21141,1.21247,5489.6201
22.02.2021 00:00:00.000,1.21246,1.21693,1.20911,1.21638,133388.40549999996
23.02.2021 00:00:00.000,1.21637,1.21801,1.21353,1.21506,123305.62460000002
24.02.2021 00:00:00.000,1.21506,1.21745,1.21092,1.21693,161180.1352
25.02.2021 00:00:00.000,1.21696,1.22433,1.21559,1.21577,235388.7543
26.02.2021 00:00:00.000,1.21579,1.21826,1.20621,1.20704,305265.80419999996
27.02.2021 00:00:00.000,1.20704,1.20704,1.20704,1.20704,0
28.02.2021 00:00:00.000,1.20702,1.20919,1.20699,1.20903,8260.37
01.03.2021 00:00:00.000,1.20905,1.21011,1.20276,1.20484,153278.15510000003
02.03.2021 00:00:00.000,1.20485,1.20943,1.19916,1.20848,162621.889
03.03.2021 00:00:00.000,1.20850,1.21132,1.20427,1.20464,182492.7105
04.03.2021 00:00:00.000,1.20463,1.20630,1.19605,1.19672,215954.63429999998
05.03.2021 00:00:00.000,1.19671,1.19687,1.18932,1.19128,242281.4025
06.03.2021 00:00:00.000,1.19128,1.19128,1.19128,1.19128,0
07.03.2021 00:00:00.000,1.19177,1.19319,1.19168,1.19263,6671.0674
08.03.2021 00:00:00.000,1.19262,1.19321,1.18442,1.18508,184844.18910000005
09.03.2021 00:00:00.000,1.18509,1.19156,1.18355,1.18967,167708.7296
10.03.2021 00:00:00.000,1.18967,1.19296,1.18688,1.19242,153883.48019999996
11.03.2021 00:00:00.000,1.19242,1.19899,1.19156,1.19808,153547.78650000005
12.03.2021 00:00:00.000,1.19809,1.19884,1.19099,1.19476,152735.99
13.03.2021 00:00:00.000,1.19476,1.19476,1.19476,1.19476,0
14.03.2021 00:00:00.000,1.19451,1.19542,1.19433,1.19500,6576.9802
